Feature, Handler, Value
INITCONTAINERS_SECURITYCONTEXT_seLinuxOptions, INITCONTAINERS_SECURITYCONTEXT_seLinuxOptions, -
INITCONTAINERS_SELINUXOPTIONS_level, INITCONTAINERS_SELINUXOPTIONS_level, 
INITCONTAINERS_SELINUXOPTIONS_role, INITCONTAINERS_SELINUXOPTIONS_role, 
INITCONTAINERS_SELINUXOPTIONS_type, INITCONTAINERS_SELINUXOPTIONS_type, 
INITCONTAINERS_SELINUXOPTIONS_user, INITCONTAINERS_SELINUXOPTIONS_user, 
INITCONTAINERS_SECURITYCONTEXT_seccompProfile, INITCONTAINERS_SECURITYCONTEXT_seccompProfile, -
INITCONTAINERS_SECCOMPROFILE_localhostProfile, INITCONTAINERS_SECCOMPROFILE_localhostProfile, 
INITCONTAINERS_SECCOMPROFILE_type, INITCONTAINERS_SECCOMPROFILE_type, -
INITCONTAINERS_SECCOMPROFILE_Type_LocalHost, INITCONTAINERS_SECCOMPROFILE_Type_LocalHost, -
INITCONTAINERS_SECCOMPROFILE_Type_RuntimeDefault, INITCONTAINERS_SECCOMPROFILE_Type_RuntimeDefault, -
INITCONTAINERS_SECCOMPROFILE_Type_Unconfined, INITCONTAINERS_SECCOMPROFILE_Type_Unconfined, -
INITCONTAINERS_SECURITYCONTEXT_windowsOptions, INITCONTAINERS_SECURITYCONTEXT_windowsOptions, -
INITCONTAINERS_WINDOWSOPTIONS_gmsaCredentialSpec, INITCONTAINERS_WINDOWSOPTIONS_gmsaCredentialSpec, 
INITCONTAINERS_WINDOWSOPTIONS_gmsaCredentialSpecName,INITCONTAINERS_WINDOWSOPTIONS_gmsaCredentialSpecName, 
INITCONTAINERS_WINDOWSOPTIONS_hostProcess, INITCONTAINERS_WINDOWSOPTIONS_hostProcess, -
INITCONTAINERS_WINDOWSOPTIONS_runAsUserName, INITCONTAINERS_WINDOWSOPTIONS_runAsUserName, 
PODSPEC_activeDeadlineSeconds, PODSPEC_activeDeadlineSeconds, 
PODSPEC_affinity, PODSPEC_affinity, 
AFFINITY_nodeAffinity, AFFINITY_nodeAffinity, 
AFFINITY_podAffinity, AFFINITY_podAffinity, 
AFFINITY_podAntiAffinity, AFFINITY_podAntiAffinity, 
PODSPEC_automountServiceAccountToken, PODSPEC_automountServiceAccountToken, 
PODSPEC_dnsPolicy, PODSPEC_dnsPolicy, 
DNSPOLICY_ClusterFirstWithHostNet, DNSPOLICY_ClusterFirstWithHostNet, ClusterFirstWithHostNet
DNSPOLICY_ClusterFirst, DNSPOLICY_ClusterFirst, ClusterFirst
DNSPOLICY_Default, DNSPOLICY_Default, Default
DNSPOLICY_None, DNSPOLICY_None, None
PODSPEC_enableServiceLinks, PODSPEC_enableServiceLinks, -
PODSPEC_hostIPC, PODSPEC_hostIPC, -
PODSPEC_hostNetwork, PODSPEC_hostNetwork, -
PODSPEC_hostPID, PODSPEC_hostPID, -
PODSPEC_hostUsers, PODSPEC_hostUsers, -
PODSPEC_hostname, PODSPEC_hostname, 
PODSPEC_nodeName, PODSPEC_nodeName, 
PODSPEC_Volumes, PODSPEC_Volumes, -
VOLUMES_name, VOLUMES_name, 
VOLUMES_type, VOLUMES_type,
emptyDir, emptyDir, -
EMPTYDIR_medium, EMPTYDIR_medium, 
EMPTYDIR_MEDIUM_memory, EMPTYDIR_MEDIUM_memory, Memory
EMPTYDIR_MEDIUM_default,EMPTYDIR_MEDIUM_default, ""
EMPTYDIR_sizeLimit, EMPTYDIR_sizeLimit, 
hostPath, hostPath, -
HOSTPATH_path, HOSTPATH_path, 
HOSTPATH_type, HOSTPATH_type
persistentVolumeClaim, persistentVolumeClaim, -
PERSISTENTVOLUMECLAIM_claimName, PERSISTENTVOLUMECLAIM_claimName, 
PERSISTENTVOLUMECLAIM_readOnly, PERSISTENTVOLUMECLAIM_readOnly,
configMap, configMap, -
CONFIGMAP_name, CONFIGMAP_name, 
CONFIGMAP_optional, CONFIGMAP_optional, -
CONFIGMAP_defaultMode, CONFIGMAP_defaultMode, 
CONFIGMAP_items, CONFIGMAP_items, -
CONFIGMAP_ITEMS_key, CONFIGMAP_ITEMS_key, 
CONFIGMAP_ITEMS_mode, CONFIGMAP_ITEMS_mode, 
CONFIGMAP_ITEMS_path, CONFIGMAP_ITEMS_path,
secret, secret, -
SECRET_secretName, SECRET_secretName, 
SECRET_optional, SECRET_optional, -
SECRET_defaultMode, SECRET_defaultMode, 
SECRET_items, SECRET_items, -
SECRET_ITEMS_key, SECRET_ITEMS_key, 
SECRET_ITEMS_mode, SECRET_ITEMS_mode, 
SECRET_ITEMS_path, SECRET_ITEMS_path,
nfs, nfs, -
NFS_path, NFS_path, 
NFS_server, NFS_server, 
NFS_readOnly, NFS_readOnly, 
csi, csi, -
CSI_driver, CSI_driver, 
CSI_volumeAttributes, CSI_volumeAttributes, 
CSI_readOnly,CSI_readOnly, -
CSI_fsType, CSI_fsType, 
CSI_nodePublichSecretRef, CSI_nodePublichSecretRef, -
CSI_NODEPUBLISHSECRETREF_name, CSI_NODEPUBLISHSECRETREF_name, 
downwardAPI, downwardAPI, -
DOWNWARDAPI_items, DOWNWARDAPI_items, -
DOWNWARDAPI_ITEMS_fieldRef, DOWNWARDAPI_ITEMS_fieldRef, 
DOWNWARDAPI_ITEMS_FIELDREF_apiVersion, DOWNWARDAPI_ITEMS_FIELDREF_apiVersion, 
DOWNWARDAPI_ITEMS_FIELDREF_fieldPath, DOWNWARDAPI_ITEMS_FIELDREF_fieldPath, 
DOWNWARDAPI_ITEMS_path, DOWNWARDAPI_ITEMS_path, 
DOWNWARDAPI_mode, DOWNWARDAPI_mode, 
DOWNWARDAPI_ITEMS_resourceFieldRef, DOWNWARDAPI_ITEMS_resourceFieldRef, 
DOWNWARDAPI_ITEMS_RESOURCEFIELDREF_containerName, DOWNWARDAPI_ITEMS_RESOURCEFIELDREF_containerName, 
DOWNWARDAPI_ITEMS_RESOURCEFIELDREF_resource, DOWNWARDAPI_ITEMS_RESOURCEFIELDREF_resource, 
DOWNWARDAPI_ITEMS_RESOURCEFIELDREF_divisor, DOWNWARDAPI_ITEMS_RESOURCEFIELDREF_divisor, 
DOWNWARDAPI_defaultMode, DOWNWARDAPI_defaultMode, 
ephemeral, ephemeral, -
EPHEMERAL_volumeClaimTemplate, EPHEMERAL_volumeClaimTemplate, 
EPHEMERAL_VOLUMECLAIMTEMPLATE_spec, EPHEMERAL_VOLUMECLAIMTEMPLATE_spec, 
EPHEMERAL_VOLUMECLAIMTEMPLATE_metadata, EPHEMERAL_VOLUMECLAIMTEMPLATE_metadata, 
fc, fc, -
FC_fsType, FC_fsType, 
FC_readOnly, FC_readOnly, 
FC_lun,FC_lun, 
FC_targetWWNs, FC_targetWWNs, 
FC_TARGETWWNS_targetWWN, FC_TARGETWWNS_targetWWN, 
FC_wwids,FC_wwids, 
FC_WWIDS_wwid, FC_WWIDS_wwid, 
flocker, flocker, -
FLOCKER_datsetUUID, FLOCKER_datsetUUID, 
FLOCKER_datasetName, FLOCKER_datasetName, 
iscsi, iscsi, -
ISCSI_targetPortal, ISCSI_targetPortal, 
ISCSI_fsType, ISCSI_fsType, 
ISCSI_lun, ISCSI_lun, 
ISCSI_iqn, ISCSI_iqn, 
ISCSI_chapAuthDiscovery, ISCSI_chapAuthDiscovery, -
ISCSI_chapAuthSession, ISCSI_chapAuthSession, -
ISCSI_initiatorName, ISCSI_initiatorName, 
ISCSI_iscsiInterface, ISCSI_iscsiInterface, 
ISCSI_portals,ISCSI_portals, 
ISCSI_PORTALS_portal, ISCSI_PORTALS_portal, 
ISCSI_readOnly, ISCSI_readOnly, -
ISCSI_secretRef, ISCSI_secretRef, -
ISCSI_SECRETREF_name, ISCSI_SECRETREF_name, 
photonPersistentDisk, photonPersistentDisk, -
PHOTONPERSISTENTDISK_pdID, PHOTONPERSISTENTDISK_pdID, 
PHOTONPERSISTENTDISK_fsType, PHOTONPERSISTENTDISK_fsType, 
projected, projected, -
PROJECTED_defaultmode, PROJECTED_defaultmode, 
PROJECTED_sources, PROJECTED_sources, -
PROJECTED_SOURCES_clusterTrustBundle, PROJECTED_SOURCES_clusterTrustBundle, 
PROJECTED_SOURCES_configMap, PROJECTED_SOURCES_configMap, 
PROJECTED_SOURCES_downwardAPI, PROJECTED_SOURCES_downwardAPI, 
PROJECTED_SOURCES_secret, PROJECTED_SOURCES_secret, 
PROJECTED_SOURCES_serviceAccountToken, PROJECTED_SOURCES_serviceAccountToken, 
quobyte, quobyte, -
QUOBYTE_volume, QUOBYTE_volume, 
QUOBYTE_group, QUOBYTE_group, 
QUOBYTE_readOnly,QUOBYTE_readOnly, -
QUOBYTE_registry, QUOBYTE_registry, 
QUOBYTE_tenant, QUOBYTE_tenant,
QUOBYTE_user, QUOBYTE_user, 
rbd, rbd, -
RBD_image, RBD_image, 
RBD_monitors,RBD_monitors, -
RBD_MONITORS_monitor, RBD_MONITORS_monitor, 
RBD_pool, RBD_pool, 
RBD_fsType, RBD_fsType, 
RBD_readOnly, RBD_readOnly, -
RBD_secretRef, RBD_secretRef, -
RBD_SECRETREF_name, RBD_SECRETREF_name,
RBD_keyring, RBD_keyring,
RBD_user,RBD_user, 
scaleIO, scaleIO, -
SCALEIO_gateway, SCALEIO_gateway,
SCALEIO_volumeName, SCALEIO_volumeName, 
SCALEIO_system, SCALEIO_system, 
SCALEIO_protectionDomain, SCALEIO_protectionDomain, 
SCALEIO_fsType, SCALEIO_fsType, 
SCALEIO_readOnly, SCALEIO_readOnly, -
SCALEIO_secretRef, SCALEIO_secretRef, 
SCALEIO_SECRETREF_name, SCALEIO_SECRETREF_name, 
SCALEIO_sslEnabled, SCALEIO_sslEnabled, -
SCALEIO_storageMode, SCALEIO_storageMode, -
SCALEIO_STORAGEMODE_thickProvisioned, SCALEIO_STORAGEMODE_thickProvisioned, thickProvisioned
SCALEIO_STORAGEMODE_thinProvisioned, SCALEIO_STORAGEMODE_thinProvisioned, thinProvisioned
storageos, storageos, -
STORAGEOS_volumeName, STORAGEOS_volumeName, 
STORAGEOS_fsType, STORAGEOS_fsType, 
STORAGEOS_readOnly, STORAGEOS_readOnly, -
STORAGEOS_secretRef, STORAGEOS_secretRef, -
STORAGEOS_SECRETREF_name, STORAGEOS_SECRETREF_name, 
ServiceSpec, ServiceSpec, 
SERVICESPEC_allocateLoadBalancerNodePorts, SERVICESPEC_allocateLoadBalancerNodePorts, -
SERVICESPEC_clusterIP, SERVICESPEC_clusterIP, -
CLUSTERIP_emptyString, CLUSTERIP_emptyString, emptyString
CLUSTERIP_none, CLUSTERIP_none, none
CLUSTERIP_IP, CLUSTERIP_IP, 
SERVICESPEC_clusterIPs, SERVICESPEC_clusterIPs, -
CLUSTERIPS_emptyString, CLUSTERIPS_emptyString, emptyString
CLUSTERIPS_none, CLUSTERIPS_none, none
CLUSTERIPS_IPs, CLUSTERIPS_IPs,
SERVICESPEC_externalIPs, SERVICESPEC_externalIPs, 
SERVICESPEC_EXTERNALIPS_ip, SERVICESPEC_EXTERNALIPS_ip,  
SERVICESPEC_externalName, SERVICESPEC_externalName, 
SERVICESPEC_externalTrafficPolicy, SERVICESPEC_externalTrafficPolicy, 
EXTERNALTRAFFICPOLICY_Local, EXTERNALTRAFFICPOLICY_Local, Local
EXTERNALTRAFFICPOLICY_Cluster, EXTERNALTRAFFICPOLICY_Cluster, Cluster
SERVICESPEC_healthCheckNodePort, SERVICESPEC_healthCheckNodePort, 
SERVICESPEC_internalTrafficPolicy, SERVICESPEC_internalTrafficPolicy, -
INTERNALTRAFFICPOLICY_Local, INTERNALTRAFFICPOLICY_Local, Local
INTERNALTRAFFICPOLICY_Cluster, INTERNALTRAFFICPOLICY_Cluster, Cluster
SERVICESPEC_ipFamilies, SERVICESPEC_ipFamilies, -
IPFAMILIES_IPv4, IPFAMILIES_IPv4, IPv4
IPFAMILIES_IPv6, IPFAMILIES_IPv6, IPv6
SERVICESPEC_ipFamilyPolicy, SERVICESPEC_ipFamilyPolicy, -
SingleStack, SingleStack, SingleStack
PreferDualStack, PreferDualStack, PreferDualStack
RequireDualStack, RequireDualStack, RequireDualStack
SERVICESPEC_loadBalancerClass, SERVICESPEC_loadBalancerClass, 
SERVICESPEC_Ports, SERVICESPEC_Ports, -
SERVICESPEC_PORTS_port, SERVICESPEC_PORTS_port, 
SERVICESPEC_PORTS_name, SERVICESPEC_PORTS_name, 
SERVICESPEC_PORTS_protocol, SERVICESPEC_PORTS_protocol, 
PORTS_PROTOCOL_tcp, PORTS_PROTOCOL_tcp, TCP
PORTS_PROTOCOL_udp,PORTS_PROTOCOL_udp, UDP
PORTS_PROTOCOL_sctp, PORTS_PROTOCOL_sctp, SCTP
SERVICESPEC_PORTS_nodePort, SERVICESPEC_PORTS_nodePort, 
SERVICESPEC_PORTS_targetPort, SERVICESPEC_PORTS_targetPort, 
SERVICESPEC_PORTS_appProtocol, SERVICESPEC_PORTS_appProtocol, 
SERVICESPEC_publishNotReadyAddresses, SERVICESPEC_publishNotReadyAddresses, -
SERVICESPEC_Selector, SERVICESPEC_Selector, -
SELECTOR_key, SELECTOR_key, 
SELECTOR_value, SELECTOR_value
SERVICESPEC_sessionAffinity, SERVICESPEC_sessionAffinity, -
SESSIONAFFINITY_clientIP, SESSIONAFFINITY_clientIP, ClientIP
SESSIONAFFINITY_none, SESSIONAFFINITY_none, None
SERVICESPEC_sessionAffinityConfig, SERVICESPEC_sessionAffinityConfig, -
CLIENTIP_timeoutSeconds, CLIENTIP_timeoutSeconds, 
SERVICESPEC_trafficDistribution, SERVICESPEC_trafficDistribution, 
SERVICESPEC_Type, SERVICESPEC_Type, -
TYPE_ExternalName, TYPE_ExternalName, ExternalName
TYPE_ClusterIP, TYPE_ClusterIP, ClusterIP
TYPE_NodePort, TYPE_NodePort, NodePort
TYPE_LoadBalancer, TYPE_LoadBalancer, LoadBalancer 
CustomResourceDefinitionSpec, CustomResourceDefinitionSpec, -
CUSTOMRESOURCEDEFINITIONSPEC_conversion, CUSTOMRESOURCEDEFINITIONSPEC_conversion, -
CUSTOMRESOURCEDEFINITIONSPEC_group, CUSTOMRESOURCEDEFINITIONSPEC_group, 
CUSTOMRESOURCEDEFINITIONSPEC_names, CUSTOMRESOURCEDEFINITIONSPEC_names, -
CUSTOMRESOURCEDEFINITIONSPEC_scope, CUSTOMRESOURCEDEFINITIONSPEC_scope, 
CUSTOMRESOURCEDEFINITIONSPEC_SCOPE_Cluster, CUSTOMRESOURCEDEFINITIONSPEC_SCOPE_Cluster, Cluster
CUSTOMRESOURCEDEFINITIONSPEC_SCOPE_Namespaced, CUSTOMRESOURCEDEFINITIONSPEC_SCOPE_Namespaced, Namespaced
CUSTOMRESOURCEDEFINITIONSPEC_versions, CUSTOMRESOURCEDEFINITIONSPEC_versions, -
VERSIONS_name, VERSIONS_name, 
VERSIONS_served, VERSIONS_served,
VERSIONS_storage, VERSIONS_storage,
VERSIONS_subresources, VERSIONS_subresources, -
SUBRESOURCES_status, SUBRESOURCES_status,
SUBRESOURCES_scale,SUBRESOURCES_scale,
VERSIONS_schema, VERSIONS_schema, -
SCHEMA_openAPIV3Schema, SCHEMA_openAPIV3Schema, -
OPENAPIV3SCHEMA_type, OPENAPIV3SCHEMA_type, 
OPENAPIV3SCHEMA_properties, OPENAPIV3SCHEMA_properties, -
OPENAPIV3SCHEMA_description, OPENAPIV3SCHEMA_description, 
OPENAPIV3SCHEMA_required, OPENAPIV3SCHEMA_required, 
VERSIONS_additionalPrinterColumns, VERSIONS_additionalPrinterColumns, -
ADDITIONALPRINTERCOLUMNS_name, ADDITIONALPRINTERCOLUMNS_name, 
ADDITIONALPRINTERCOLUMNS_type, ADDITIONALPRINTERCOLUMNS_type, 
ADDITIONALPRINTERCOLUMNS_JSONPath, ADDITIONALPRINTERCOLUMNS_JSONPath, 
ADDITIONALPRINTERCOLUMNS_description, ADDITIONALPRINTERCOLUMNS_description, 
ADDITIONALPRINTERCOLUMNS_priority, ADDITIONALPRINTERCOLUMNS_priority, 
ADDITIONALPRINTERCOLUMNS_format, ADDITIONALPRINTERCOLUMNS_format, 
immutable, immutable, -
IMMUTABLE_boolean, IMMUTABLE_boolean,
binaryData, binaryData, -
BINARYDATA_binaryFile_name, BINARYDATA_binaryFile_name, 
BINARYDATA_binaryFile_value, BINARYDATA_binaryFile_value, 
data, data, -
DATA_confSimple, DATA_confSimple, -
CONFSIMPLE_key, CONFSIMPLE_key, 
CONFSIMPLE_value, CONFSIMPLE_value, 
DATA_confFile, DATA_confFile, -
CONFFILE_name, CONFFILE_name, 
CONFFILE_value, CONFFILE_value, 
subsets, subsets, -
SUBSETS_addresses, SUBSETS_addresses, -
SUBSETS_notReadyAddresses, SUBSETS_notReadyAddresses, -
SUBSETS_ports, SUBSETS_ports, -
ADDRESSES_hostname, ADDRESSES_hostname, 
ADDRESSES_ip, ADDRESSES_ip, 
ADDRESSES_nodename, ADDRESSES_nodename, 
ADDRESSES_targetRef, ADDRESSES_targetRef, 
ADDRESSES_TARGETREF_apiVersion, ADDRESSES_TARGETREF_apiVersion, 
ADDRESSES_TARGETREF_fieldPathm, ADDRESSES_TARGETREF_fieldPathm, 
ADDRESSES_TARGETREF_kind, ADDRESSES_TARGETREF_kind, 
ADDRESSES_TARGETREF_name, ADDRESSES_TARGETREF_name, 
ADDRESSES_TARGETREF_namespace, ADDRESSES_TARGETREF_namespace, 
ADDRESSES_TARGETREF_resourceVersion, ADDRESSES_TARGETREF_resourceVersion, 
ADDRESSES_TARGETREF_uid, ADDRESSES_TARGETREF_uid, 
SUBSETS_notReadyAddresses, SUBSETS_notReadyAddresses, -
NOTREADYADDRESSES_hostname, NOTREADYADDRESSES_hostname, 
NOTREADYADDRESSES_ip, NOTREADYADDRESSES_ip, 
NOTREADYADDRESSES_nodename, NOTREADYADDRESSES_nodename, 
NOTREADYADDRESSES_targetRef, NOTREADYADDRESSES_targetRef, 
NOTREADYADDRESSES_TARGETREF_apiVersion, NOTREADYADDRESSES_TARGETREF_apiVersion, 
NOTREADYADDRESSES_TARGETREF_fieldPathm, NOTREADYADDRESSES_TARGETREF_fieldPathm, 
NOTREADYADDRESSES_TARGETREF_kind, NOTREADYADDRESSES_TARGETREF_kind, 
NOTREADYADDRESSES_TARGETREF_name, NOTREADYADDRESSES_TARGETREF_name, 
NOTREADYADDRESSES_TARGETREF_namespace, NOTREADYADDRESSES_TARGETREF_namespace, 
NOTREADYADDRESSES_TARGETREF_resourceVersion, NOTREADYADDRESSES_TARGETREF_resourceVersion, 
NOTREADYADDRESSES_TARGETREF_uid, NOTREADYADDRESSES_TARGETREF_uid, 
SUBSETS_PORTS_port, SUBSETS_PORTS_port, 
SUBSETS_PORTS_name, SUBSETS_PORTS_name, 
SUBSETS_PORTS_protocol, SUBSETS_PORTS_protocol, 
SUBSETS_PORTS_UDP, SUBSETS_PORTS_UDP, UDP
SUBSETS_PORTS_TCP, SUBSETS_PORTS_TCP, TCP
SUBSETS_PORTS_SCTP, SUBSETS_PORTS_SCTP, SCTP
rules, rules, 
RULES_apiGroups, RULES_apiGroups, 
RULES_APIGROUPS_value, RULES_APIGROUPS_value, 
RULES_resources, RULES_resources, 
RULES_RESOURCES_value, RULES_RESOURCES_value, 
RULES_nonResourceURLs, RULES_nonResourceURLs, 
RULES_NONRESOURCEURLS_value, RULES_NONRESOURCEURLS_value, 
RULES_resourceNames, RULES_resourceNames, 
RULES_RESOURCENAMES_value, RULES_RESOURCENAMES_value, 
RULES_verbs, RULES_verbs, 
RULES_VERBS_value, RULES_VERBS_value, 
type, type, 
stringData, stringData, 
STRINGDATA_key, STRINGDATA_key, 
STRINGDATA_value, STRINGDATA_value, 
